"College","Type","Pell_Share","State","Year"
"University of New Hampshire","Public",18,"N.H.",2011
"University of North Carolina, Chapel Hill","Public",22,"N.C.",2011
"University of Southern California","Private",24,"Calif.",2011
"Yale University","Private",29,"Conn.",2011
"Boston University","Private",23,"Mass.",2011
"Chapman University","Private",22,"Calif.",2011
"Clark University","Private",21,"Mass.",2011
"Dickinson College","Private",28,"Pa.",2011
"Drake University","Private",21,"Iowa",2011
"Gettysburg College","Private",27,"Pa.",2011
"Johns Hopkins University","Private",28,"Md.",2011
"Muhlenberg College","Private",32,"Pa.",2011
"Northwestern University","Private",25,"Ill.",2011
"Rensselaer Polytechnic Institute","Private",21,"N.Y.",2011
"Stanford University","Private",24,"Calif.",2011
"Stevens Institute of Technology","Private",15,"N.J.",2011
"Texas A&M University","Public",17,"Texas",2011
"University of Kansas","Public",18,"Kan.",2011
"University of Massachusetts, Amherst","Public",15,"Mass.",2011
"Williams College","Private",19,"Mass.",2011
"Babson College","Private",21,"Mass.",2011
"Cedarville University","Private",21,"Ohio",2011
"Colorado College","Private",26,"Colo.",2011
"Emory University","Private",15,"Ga.",2011
"Indiana University, Bloomington","Public",17,"Ind.",2011
"Lehigh University","Private",22,"Pa.",2011
"Lewis & Clark College","Private",18,"Ore.",2011
"Loyola University Maryland","Private",24,"Md.",2011
"Middlebury College","Private",28,"Vt.",2011
"Smith College","Private",18,"Mass.",2011
"St. Louis University","Private",17,"Mo.",2011
"University of Alabama","Public",17,"Ala.",2011
"University of Pennsylvania","Private",22,"Pa.",2011
"University of Rochester","Private",19,"N.Y.",2011
"University of South Carolina","Public",17,"S.C.",2011
"University of the South","Private",22,"Tenn.",2011
"Vassar College","Private",11,"N.Y.",2011
"American University","Private",21,"D.C.",2011
"Barnard College","Private",14,"N.Y.",2011
"College of New Jersey","Public",19,"N.J.",2011
"Cornell University","Private",21,"N.Y.",2011
"Hamilton College","Private",19,"N.Y.",2011
"New York University","Private",16,"N.Y.",2011
"North Carolina State University","Public",11,"N.C.",2011
"Occidental College","Private",11,"Calif.",2011
"Princeton University","Private",25,"N.J.",2011
"Syracuse University","Private",11,"N.Y.",2011
"University of Arkansas","Public",12,"Ark.",2011
"University of Iowa","Public",19,"Iowa",2011
"University of Minnesota","Public",13,"Minn.",2011
"University of Puget Sound","Private",15,"Wash.",2011
"University of San Diego","Private",20,"Calif.",2011
"University of Washington","Public",12,"Wash.",2011
"Ursinus College","Private",6,"Pa.",2011
"Vanderbilt University","Private",23,"Tenn.",2011
"Wesleyan University","Private",20,"Conn.",2011
"Wofford College","Private",11,"S.C.",2011
"Brandeis University","Private",15,"Mass.",2011
"Bryn Mawr College","Private",16,"Pa.",2011
"Carleton College","Private",21,"Minn.",2011
"Case Western Reserve University","Private",13,"Ohio",2011
"Connecticut College","Private",21,"Conn.",2011
"Dartmouth College","Private",21,"N.H.",2011
"DePauw University","Private",12,"Ind.",2011
"George Washington University","Private",21,"D.C.",2011
"Georgia College & State University","Public",14,"Ga.",2011
"Hope College","Private",12,"Mich.",2011
"Kettering University","Private",0,"Mich.",2011
"Missouri University of Science and Technology","Public",6,"Mo.",2011
"Ohio State University","Public",14,"Ohio",2011
"Providence College","Private",18,"R.I.",2011
"Rice University","Private",18,"Texas",2011
"University of Delaware","Public",21,"Del.",2011
"University of North Dakota","Public",11,"N.D.",2011
"University of Pittsburgh","Public",18,"Pa.",2011
"University of Richmond","Private",20,"Va.",2011
"University of Wisconsin, Madison","Public",19,"Wis.",2011
"University of Wyoming","Public",13,"Wyo.",2011
"Baylor University","Private",8,"Texas",2011
"Belmont University","Private",15,"Tenn.",2011
"Bowdoin College","Private",15,"Maine",2011
"Gonzaga University","Private",16,"Wash.",2011
"Haverford College","Private",16,"Pa.",2011
"Rhodes College","Private",16,"Tenn.",2011
"Taylor University","Private",6,"Ind.",2011
"University of Denver","Private",15,"Colo.",2011
"University of Georgia","Public",10,"Ga.",2011
"University of Michigan","Public",17,"Mich.",2011
"Virginia Polytechnic Institute","Public",17,"Va.",2011
"Washington University in St. Louis","Private",26,"Mo.",2011
"Whitman College","Private",18,"Wash.",2011
"Bentley University","Private",14,"Mass.",2011
"Butler University","Private",9,"Ind.",2011
"Davidson College","Private",17,"N.C.",2011
"Endicott College","Private",9,"Mass.",2011
"Quinnipiac University","Private",14,"Conn.",2011
"Sarah Lawrence College","Private",12,"N.Y.",2011
"Stonehill College","Private",16,"Mass.",2011
"Trinity College","Private",17,"Conn.",2011
"University of Maryland, College Park","Public",15,"Md.",2011
"University of Vermont","Public",8,"Vt.",2011
"Brown University","Private",11,"R.I.",2011
