"Name","State","Type","Freshmen_Pell_share","Ranking","Type_Of_Ranking"
"University of Utah","UT","Public",24,"90","Times"
"Claremont McKenna College","CA","Private",23,"91","Times"
"St. Mary’s College of Maryland","MD","Public",23,"93","Times"
"Wheaton College","MA","Private",23,"99","Times"
"University of Rhode Island","RI","Public",23,"96","Times"
"West Virginia University","WV","Public",23,"98","Times"
"Thomas Aquinas College","CA","Private",22,"108","Times"
"Centre College","KY","Private",22,"100","Times"
"Grinnell College","IA","Private",22,"101","Times"
"Swarthmore College","PA","Private",22,"107","Times"
"Wheaton College","IL","Private",22,"116","Times"
"University of Tulsa","OK","Private",22,"114","Times"
"St. Lawrence University","NY","Private",22,"105","Times"
"Milwaukee School of Engineering","WI","Private",22,"104","Times"
"Wellesley College","MA","Private",22,"115","Times"
"St. Olaf College","MN","Private",22,"106","Times"
"Harvard University","MA","Private",22,"102","Times"
"Loyola University Chicago","IL","Private",22,"103","Times"
"University of Mississippi","MS","Public",22,"113","Times"
"University of Connecticut","CT","Public",22,"110","Times"
"University of Kentucky","KY","Public",22,"112","Times"
"University of Florida","FL","Public",22,"111","Times"
"Pomona College","CA","Private",21,"124","Times"
"Amherst College","MA","Private",21,"117","Times"
"Trinity University","TX","Private",21,"126","Times"
"Truman State University","MO","Public",21,"127","Times"
"Pepperdine University","CA","Private",21,"123","Times"
"Seattle University","WA","Private",21,"125","Times"
"Massachusetts Institute of Technology","MA","Private",21,"121","Times"
"Michigan Technological University","MI","Public",21,"122","Times"
"Yale University","CT","Private",21,"132","Times"
"Marquette University","WI","Private",21,"120","Times"
"Fordham University","NY","Private",21,"119","Times"
"University of Southern California","CA","Private",21,"131","Times"
"Williams College","MA","Private",20,"148","Times"
"Clark University","MA","Private",20,"135","Times"
"Dickinson College","PA","Private",20,"136","Times"
"Muhlenberg College","PA","Private",20,"140","Times"
"Gettysburg College","PA","Private",20,"138","Times"
"Drake University","IA","Private",20,"137","Times"
"Stevens Institute of Technology","NJ","Private",20,"144","Times"
"Johns Hopkins University","MD","Private",20,"139","Times"
"Rensselaer Polytechnic Institute","NY","Private",20,"142","Times"
"Chapman University","CA","Private",20,"134","Times"
"Stanford University","CA","Private",20,"143","Times"
"Northwestern University","IL","Private",20,"141","Times"
"Boston University","MA","Private",20,"133","Times"
"University of Kansas","KS","Public",20,"146","Times"
"Lewis & Clark College","OR","Private",19,"155","Times"
"Smith College","MA","Private",19,"158","Times"
"Colorado College","CO","Private",19,"151","Times"
"Vassar College","NY","Private",19,"165","Times"
"Middlebury College","VT","Private",19,"157","Times"
"Babson College","MA","Private",19,"149","Times"
"Cedarville University","OH","Private",19,"150","Times"
"Loyola University Maryland","MD","Private",19,"156","Times"
"Emory University","GA","Private",19,"152","Times"
"University of Rochester","NY","Private",19,"162","Times"
"Lehigh University","PA","Private",19,"154","Times"
"University of Pennsylvania","PA","Private",19,"161","Times"
"University of Puget Sound","WA","Private",18,"179","Times"
"Occidental College","CA","Private",18,"173","Times"
"Ursinus College","PA","Private",18,"182","Times"
"Hamilton College","NY","Private",18,"170","Times"
"Wofford College","SC","Private",18,"185","Times"
"Barnard College","NY","Private",18,"167","Times"
"Wesleyan University","CT","Private",18,"184","Times"
"University of San Diego","CA","Private",18,"180","Times"
"Princeton University","NJ","Private",18,"174","Times"
"American University","DC","Private",18,"166","Times"
"Vanderbilt University","TN","Private",18,"183","Times"
"Cornell University","NY","Private",18,"169","Times"
"Syracuse University","NY","Private",18,"175","Times"
"University of Iowa","IA","Public",18,"177","Times"
"University of Arkansas","AR","Public",18,"176","Times"
"New York University","NY","Private",18,"171","Times"
"Kettering University","MI","Private",17,"196","Times"
"Bryn Mawr College","PA","Private",17,"187","Times"
"DePauw University","IN","Private",17,"192","Times"
"Connecticut College","CT","Private",17,"190","Times"
"Carleton College","MN","Private",17,"188","Times"
"Brandeis University","MA","Private",17,"186","Times"
"Hope College","MI","Private",17,"195","Times"
"University of Richmond","VA","Private",17,"204","Times"
"Rice University","TX","Private",17,"200","Times"
"Providence College","RI","Private",17,"199","Times"
"Dartmouth College","NH","Private",17,"191","Times"
"Missouri University of Science and Technology","MO","Public",17,"197","Times"
"Case Western Reserve University","OH","Private",17,"189","Times"
"Georgia College & State University","GA","Public",17,"194","Times"
"University of Wyoming","WY","Public",17,"206","Times"
"University of North Dakota","ND","Public",17,"202","Times"
"George Washington University","DC","Private",17,"193","Times"
"University of Delaware","DE","Public",17,"201","Times"
"Whitman College","WA","Private",16,"219","Times"
"Haverford College","PA","Private",16,"211","Times"
"Taylor University","IN","Private",16,"213","Times"
"Rhodes College","TN","Private",16,"212","Times"
"Bowdoin College","ME","Private",16,"209","Times"
"Gonzaga University","WA","Private",16,"210","Times"
"University of Denver","CO","Private",16,"214","Times"
"Belmont University","TN","Private",16,"208","Times"
"Washington University in St. Louis","MO","Private",16,"218","Times"
"Baylor University","TX","Private",16,"207","Times"
"University of Georgia","GA","Public",16,"215","Times"
"Sarah Lawrence College","NY","Private",15,"225","Times"
"Davidson College","NC","Private",15,"222","Times"
"Trinity College","CT","Private",15,"227","Times"
