"Pell_share_rank","College","State","Type","Freshmen_Pell_share","Pell_change_since_2011","Total_undergraduates","Endowment_per_student","Net_price,_mid-income","Pell_In_2011","Total_Pell_Students","Endowment","Endowment_Per_Pell_Student"
43,"Rochester Institute of Technology","N.Y.","Private",30,-5,13400,112000,25900,25,4020,1500800000,373333.333333333
43,"University of California, Davis","Calif.","Public",30,-9,31200,20000,14200,21,9360,6.24e+08,66666.6666666667
48,"Cooper Union","N.Y.","Private",29,16,800,1129000,4800,45,232,903200000,3893103.44827586
48,"Cornell College","Iowa","Private",29,-4,1000,90000,17800,25,290,9e+07,310344.827586207
48,"Louisiana State University","La.","Public",29,9,27800,28000,20400,38,8062,778400000,96551.724137931
48,"Mount Holyoke College","Mass.","Private",29,8,1900,508000,12200,37,551,965200000,1751724.13793103
48,"Transylvania University","Ky.","Private",29,1,1000,211000,22800,30,290,2.11e+08,727586.206896552
48,"University of Nevada, Reno","Nev.","Public",29,0,16800,30000,15100,29,4872,5.04e+08,103448.275862069
48,"University of South Florida","Fla.","Public",29,-13,38600,19000,9100,16,11194,733400000,65517.2413793103
48,"University of Texas, Austin","Texas","Public",29,1,40000,160000,16700,30,11600,6.4e+09,551724.137931034
56,"George Mason University","Va.","Public",28,3,27100,7000,17400,31,7588,189700000,25000
56,"Hendrix College","Ark.","Private",28,7,1100,210000,10300,35,308,2.31e+08,750000
56,"Hobart and William Smith Colleges","N.Y.","Private",28,11,1800,159000,19400,39,504,286200000,567857.142857143
56,"University of California, Santa Barbara","Calif.","Public",28,-6,23200,16000,14700,22,6496,371200000,57142.8571428571
56,"University of Central Florida","Fla.","Public",28,-2,61400,4000,10000,26,17192,245600000,14285.7142857143
61,"Augustana College","Ill.","Private",27,2,2400,88000,18900,29,648,211200000,325925.925925926
61,"University of Alaska, Fairbanks","Alaska","Public",27,-4,5900,40000,9900,23,1593,2.36e+08,148148.148148148
63,"Bard College","N.Y.","Private",26,6,2100,75000,23200,32,546,157500000,288461.538461538
63,"Binghamton University","N.Y.","Public",26,0,14300,9000,20400,26,3718,128700000,34615.3846153846
63,"Illinois Wesleyan University","Ill.","Private",26,6,1600,168000,23100,32,416,268800000,646153.846153846
63,"Rutgers University","N.J.","Public",26,-3,35800,40000,15100,23,9308,1.432e+09,153846.153846154
63,"SUNY College at Geneseo","N.Y.","Public",26,5,4800,8000,18400,31,1248,38400000,30769.2307692308
63,"University of Illinois, Urbana-Champaign","Ill.","Public",26,5,33700,68000,11700,31,8762,2291600000,261538.461538462
63,"University of Maine","Maine","Public",26,-8,9500,50000,15600,18,2470,4.75e+08,192307.692307692
63,"University of Nebraska, Lincoln","Neb.","Public",26,2,20300,71000,15500,28,5278,1441300000,273076.923076923
71,"Florida State University","Fla.","Public",25,-3,32500,28000,10700,22,8125,9.1e+08,112000
71,"Franklin & Marshall College","Pa.","Private",25,12,2300,213000,20000,37,575,489900000,852000
71,"Gustavus Adolphus College","Minn.","Private",25,-3,2200,124000,17000,22,550,272800000,496000
71,"Macalester College","Minn.","Private",25,7,2000,380000,17700,32,500,7.6e+08,1520000
71,"Rollins College","Fla.","Private",25,-2,2600,157000,22300,23,650,408200000,628000
71,"St. John’s College","N.M.","Private",25,-19,300,337000,39300,6,75,101100000,1348000
71,"St. John’s College","Md.","Private",25,4,400,380000,26600,29,100,1.52e+08,1520000
71,"Susquehanna University","Pa.","Private",25,2,2200,84000,24600,27,550,184800000,336000
71,"University of Arizona","Ariz.","Public",25,-7,35400,37000,16800,18,8850,1309800000,148000
71,"University of California, Berkeley","Calif.","Public",25,-2,30800,91000,14400,23,7700,2802800000,364000
81,"Bard College at Simon’s Rock","Mass.","Private",24,-12,300,300,27800,12,72,90000,1250
81,"Berry College","Ga.","Private",24,-5,2000,614000,20400,19,480,1.228e+09,2558333.33333333
81,"Hofstra University","N.Y.","Private",24,0,6100,143000,33400,24,1464,872300000,595833.333333333
81,"Lawrence University","Wis.","Private",24,4,1400,335000,15300,28,336,4.69e+08,1395833.33333333
81,"University of Alabama, Huntsville","Ala.","Public",24,-10,8000,14000,18600,14,1920,1.12e+08,58333.3333333333
81,"University of California, San Diego","Calif.","Public",24,-23,31800,37000,13700,1,7632,1176600000,154166.666666667
81,"University of Oregon","Ore.","Public",24,1,18000,67000,15900,25,4320,1.206e+09,279166.666666667
