"College","Type","Pell_Share","State","Year"
"st marys college of maryland","Public",32,"MD",2010
"wheaton college","Private",24,"MA",2010
"university of rhode island","Public",20,"RI",2010
"west virginia university","Public",15,"WV",2010
"thomas aquinas college","Private",7,"CA",2010
"centre college","Private",28,"KY",2010
"grinnell college","Private",20,"IA",2010
"swarthmore college","Private",30,"PA",2010
"wheaton college","Private",24,"IL",2010
"university of tulsa","Private",23,"OK",2010
"st lawrence university","Private",25,"NY",2010
"milwaukee school of engineering","Private",18,"WI",2010
"wellesley college","Private",25,"MA",2010
"st olaf college","Private",27,"MN",2010
"harvard university","Private",26,"MA",2010
"loyola university chicago","Private",15,"IL",2010
"university of mississippi","Public",14,"MS",2010
"university of connecticut","Public",25,"CT",2010
"university of kentucky","Public",19,"KY",2010
"university of florida","Public",15,"FL",2010
"pomona college","Private",27,"CA",2010
"amherst college","Private",19,"MA",2010
"trinity university","Private",25,"TX",2010
"truman state university","Public",22,"MO",2010
"pepperdine university","Private",11,"CA",2010
"seattle university","Private",18,"WA",2010
"massachusetts institute of technology","Private",23,"MA",2010
"michigan technological university","Public",14,"MI",2010
"yale university","Private",29,"CT",2010
"marquette university","Private",22,"WI",2010
"fordham university","Private",23,"NY",2010
"university of southern california","Private",24,"CA",2010
"williams college","Private",19,"MA",2010
"clark university","Private",21,"MA",2010
"dickinson college","Private",28,"PA",2010
"muhlenberg college","Private",32,"PA",2010
"gettysburg college","Private",27,"PA",2010
"drake university","Private",21,"IA",2010
"stevens institute of technology","Private",15,"NJ",2010
"johns hopkins university","Private",28,"MD",2010
"rensselaer polytechnic institute","Private",21,"NY",2010
"chapman university","Private",22,"CA",2010
"stanford university","Private",24,"CA",2010
"northwestern university","Private",25,"IL",2010
"boston university","Private",23,"MA",2010
"university of kansas","Public",18,"KS",2010
"lewis clark college","Private",18,"OR",2010
"smith college","Private",18,"MA",2010
"colorado college","Private",26,"CO",2010
"vassar college","Private",11,"NY",2010
"middlebury college","Private",28,"VT",2010
"babson college","Private",21,"MA",2010
"cedarville university","Private",21,"OH",2010
"loyola university maryland","Private",24,"MD",2010
"emory university","Private",15,"GA",2010
"university of rochester","Private",19,"NY",2010
"lehigh university","Private",22,"PA",2010
"university of pennsylvania","Private",22,"PA",2010
"university of puget sound","Private",15,"WA",2010
"occidental college","Private",11,"CA",2010
"ursinus college","Private",6,"PA",2010
"hamilton college","Private",19,"NY",2010
"wofford college","Private",11,"SC",2010
"barnard college","Private",14,"NY",2010
"wesleyan university","Private",20,"CT",2010
"university of san diego","Private",20,"CA",2010
"princeton university","Private",25,"NJ",2010
"american university","Private",21,"DC",2010
"vanderbilt university","Private",23,"TN",2010
"cornell university","Private",21,"NY",2010
"syracuse university","Private",11,"NY",2010
"university of iowa","Public",19,"IA",2010
"university of arkansas","Public",12,"AR",2010
"new york university","Private",16,"NY",2010
"kettering university","Private",0,"MI",2010
"bryn mawr college","Private",16,"PA",2010
"depauw university","Private",12,"IN",2010
"connecticut college","Private",21,"CT",2010
"carleton college","Private",21,"MN",2010
"brandeis university","Private",15,"MA",2010
"hope college","Private",12,"MI",2010
"university of richmond","Private",20,"VA",2010
"rice university","Private",18,"TX",2010
"providence college","Private",18,"RI",2010
"dartmouth college","Private",21,"NH",2010
"missouri university of science and technology","Public",6,"MO",2010
"case western reserve university","Private",13,"OH",2010
"georgia college state university","Public",14,"GA",2010
"university of wyoming","Public",13,"WY",2010
